ID,名称,★,レアリティ,状態,ダンジョン,入手区分,部位,武器種,ATK,MAG_ATK,DEF,MDEF,基礎能力補正,特殊効果,シリーズ,推奨JOB,説明
crushGauntlet,破砕の篭手,,rare,旧装備,,,arms,,7,0,3,0,,"{""physicalDamagePercent"":0.02}",,,打撃を砕く力を宿す篭手。
magicGloves,魔導グローブ,,rare,旧装備,,,arms,,0,0,0,0,,,,,指先に魔法陣が刻まれた手袋。魔力の流れを強化する。
arcaneBangle,魔導の腕輪,,uncommon,旧装備,,,arms,,0,4,0,0,,,,,詠唱を支える魔力の腕輪。
healingBangle,癒しの腕輪,,uncommon,旧装備,,,arms,,0,0,0,3,,"{""healingPowerPercent"":0.05}",,,癒やしの術を増幅する腕輪。
rasetsuTekko,羅刹の手甲,,rare,旧装備,,,arms,,4,0,3,0,,"{""criticalRateBonus"":0.03}",,,急所を抉る羅刹の手甲。
tatterCoat,ボロのコート,,common,旧装備,,,body,,0,0,0,0,,,,,ダンジョンで拾った使い古しのコート。防御にはなる。
leatherVest,レザーベスト,,common,旧装備,,,body,,0,0,0,0,,,,,鼠革を重ねて縫ったベスト。頑丈な作りが防御を高める。
wisdomRobe,叡智のローブ,,uncommon,旧装備,,,body,,0,5,3,6,,,,,術者の思考を澄ませるローブ。
shadowMantle,影のマント,,rare,旧装備,,,body,,0,0,0,0,,,,,影の力を宿した漆黒のマント。物理・精神双方を守る。
phantomSuit,怪盗スーツ,,epic,旧装備,,,body,,0,0,0,0,,,,,怪盗仕様の強化スーツ。機動性も守備力も高水準を誇る。
prayerVestment,祈祷の法衣,,uncommon,旧装備,,,body,,0,0,5,8,,,,,身を守り、心を鎮める法衣。
moonVestment,月祈の法衣,,rare,旧装備,,,body,,0,6,9,14,,,,,月へ祈りを捧げる法衣。
fistGi,拳闘の胴衣,,uncommon,旧装備,,,body,,0,0,7,0,,,,,動きを妨げない軽い胴衣。
shadowGi,黒影の闘衣,,rare,旧装備,,,body,,12,0,12,0,,,,,影に紛れる薄い闘衣。
kurogane_armor,黒鉄の戦装,,uncommon,旧装備,,,body,,0,0,12,0,,,,,前線で怪異を受け止めるための重装。
blackWolfArmor,黒狼の重装,,rare,旧装備,,,body,,11,0,22,0,,,,,静寂の楽殿を歩くための重装甲。
purgatoryRobe,煉獄のローブ,,rare,旧装備,,,body,,0,9,5,10,,,,,煉獄の熱を纏うローブ。
phantomBoots,怪盗ブーツ,,epic,旧装備,,,feet,,0,0,0,0,,,,,怪盗専用の高機動ブーツ。走破力と精密さを兼ね備える。
lightBoots,軽靴,,common,旧装備,,,feet,,0,0,0,0,,,,,軽量素材で作られた靴。素早さが増す。
lightGreaves,軽身の脚甲,,uncommon,旧装備,,,feet,,0,0,2,0,,,,,踏み込みを速くする軽量の脚甲。
kuroganeBoots,黒鉄の軍靴,,rare,旧装備,,,feet,,0,0,8,0,,,,,揺るがぬ足場を作る軍靴。
swiftBoots,疾走ブーツ,,rare,旧装備,,,feet,,0,0,0,0,,,,,盗まれた硬貨の呪力を宿したブーツ。足取りが格段に軽くなる。
flashGreaves,瞬脚の具足,,rare,旧装備,,,feet,,0,0,4,0,,,,,瞬きの間に間合いを詰める具足。
pilgrimShoes,巡礼の靴,,uncommon,旧装備,,,feet,,0,0,2,3,,,,,長い巡礼にも耐える丈夫な靴。
stargazeShoes,星詠みの靴,,uncommon,旧装備,,,feet,,0,0,0,2,,,,,星の巡りを踏むように歩く靴。
starfireShoes,星火の魔導靴,,rare,旧装備,,,feet,,0,4,0,3,,,,,星の火を踏んで進む魔導靴。
sacredShoes,聖巡の靴,,rare,旧装備,,,feet,,0,0,4,6,,,,,聖地を巡るための靴。
roughBoots,粗削りブーツ,,common,旧装備,,,feet,,0,0,0,0,,,,,鼠の皮で作った簡素なブーツ。素足よりは速い。
ironKnightBoots,鉄騎のブーツ,,uncommon,旧装備,,,feet,,0,0,5,0,,,,,踏ん張りの利く鉄板入りの靴。
shadowCap,シャドウキャップ,,common,旧装備,,,head,,0,0,0,0,,,,,影の素材を編み込んだ帽子。魔力も身も守る。
phantomMask,怪盗仮面,,epic,旧装備,,,head,,0,0,0,0,,,,,怪盗の象徴となる黒い仮面。着けるだけで身が引き締まる。
moonCrown,月白の聖冠,,rare,旧装備,,,head,,0,4,0,9,,,,,月の加護を宿す聖冠。
kurogane_helm,黒鉄の額当て,,uncommon,旧装備,,,head,,0,0,6,0,,,,,額を守る黒鉄の当て金。
blackWolfHelm,黒狼の兜,,rare,旧装備,,,head,,6,0,11,0,,,,,狼の意匠を刻んだ重厚な兜。
galeHeadband,疾風の鉢巻,,uncommon,旧装備,,,head,,0,0,2,0,,,,,風を切って走るための鉢巻。
crimsonHat,深紅の魔導帽,,rare,旧装備,,,head,,0,7,0,5,,,,,炎の魔力を束ねる深紅の帽子。
roughHood,粗削りフード,,common,旧装備,,,head,,0,0,0,0,,,,,廃材をつなぎ合わせた粗い頭巾。ないよりはまし。
prayerHat,白祈の帽子,,uncommon,旧装備,,,head,,0,0,0,5,,,,,祈りを絶やさぬ白い帽子。
arcaneHood,魔導のフード,,uncommon,旧装備,,,head,,0,4,0,3,,,,,魔力の流れを整えるフード。
arcaneHat,魔導士の帽子,,rare,旧装備,,,head,,0,0,0,0,,,,,魔導系の紋様が刻まれた帽子。精神力と魔力を高める。
yashaHeadband,夜叉の鉢巻,,rare,旧装備,,,head,,6,0,4,0,,,,,闘志を研ぎ澄ます黒の鉢巻。
wizardRod,ウィザードロッド,,epic,旧装備,,,rightHand,staff,0,0,0,0,,,,,熟練の魔導士が用いる杖。狙った一点を穿つ炎弾を放てる。
flameStaff,フレイムスタッフ,,epic,旧装備,,,rightHand,staff,0,0,0,0,,,,,紅蓮の魔力を宿した杖。振るうと全体に炎の波動が広がる。
classroomRecorder,教室のリコーダー,,uncommon,現行,,,rightHand,instrument,0,10,0,0,"{""dex"":3}",,,,どこの教室にもある、あのリコーダー。魔奏士が吹けば音が刃に変わる。器用さがそのまま威力になる。
luminaStaff,月白杖ルミナ,,rare,旧装備,,,rightHand,staff,0,12,0,8,,"{""healingPowerPercent"":0.07}",,,月光を束ねた白銀の杖。
fangClaw,鋼爪ファング,,uncommon,旧装備,,,rightHand,martial,8,0,0,0,,"{""criticalRateBonus"":0.02}",,,鋭く研がれた鋼の爪。速い連撃に適する。
kurogane_sword,黒鉄剣クロウ,,uncommon,旧装備,,,rightHand,sword,10,0,0,0,,,,,黒鉄を鍛え上げた重厚な剣。力任せの一撃に応える。
fenrirSword,黒狼剣フェンリル,,rare,旧装備,,,rightHand,sword,20,0,0,0,,,,,黒狼の牙を鍛え込んだ大剣。
ignisStaff,獄炎杖イグニス,,rare,旧装備,,,rightHand,staff,0,20,0,0,,,,,獄炎を封じた深紅の杖。
celesStaff,聖杖セレス,,uncommon,旧装備,,,rightHand,staff,0,6,0,4,,"{""healingPowerPercent"":0.05}",,,祈りを束ねる白木の杖。
phantomSword,青影の剣,,common,現行,,,rightHand,sword,5,0,0,0,,,,,青い残光を引く怪盗の細身剣。
silentRecorder,静寂のリコーダー,,rare,旧装備,,,rightHand,instrument,0,20,0,6,,"{""criticalRateBonus"":0.03}",,,沈黙の楽殿で拾った音の出ないリコーダー。吹くと聴こえない旋律が敵を裂く。
sunStaff,太陽の杖,,epic,旧装備,,,rightHand,staff,0,0,0,0,,,,,太陽そのものを封じたような杖。振るうだけで敵を圧倒する光と熱を放つ。
ironClaw,鉄の爪,,common,現行,,,rightHand,martial,4,0,0,0,"{""agi"":2}",,,,拳に装着する鋼の爪。素早い連撃に適する。
runeFlameStaff,緋炎杖ルーン,,uncommon,旧装備,,,rightHand,staff,0,10,0,0,,,,,緋色の炎を宿す魔導の杖。
mageStaff,魔導士の杖,,common,現行,,,rightHand,staff,0,4,0,0,,,,,青い魔力を導く魔導士の基本杖。
yashaClaw,夜叉爪アギト,,rare,旧装備,,,rightHand,martial,17,0,0,0,,"{""criticalRateBonus"":0.03}",,,夜叉の名を持つ漆黒の爪。
guardianAegis,反奏の白盾,3,rare,現行,,,rightHand,shield,0,0,18,15,,,,,セリペスの砕けた光から再構成された白銀の盾。守護士が右手武器として扱う。
forge_d1_accessory,青燐の護符,2,uncommon,現行,dungeon1,workshop,accessory,,0,0,0,0,"{""luk"":2}",,,,D1工房規格。運に寄せた装備。
forge_d1_arms,影縫いの手甲,2,uncommon,現行,dungeon1,workshop,arms,,0,0,2,0,"{""str"":2,""dex"":2}",,,,D1工房規格。力と器用さに寄せた装備。
forge_d1_body,夜路の外套,2,uncommon,現行,dungeon1,workshop,body,,0,0,9,0,"{""maxHp"":4}",,,,D1工房規格。物理防御に寄せた装備。
forge_d1_feet,月踏みの靴,2,uncommon,現行,dungeon1,workshop,feet,,0,0,2,2,"{""agi"":2}",,,,D1工房規格。素早さに寄せた装備。
forge_d1_head,宵鉄の面頬,2,uncommon,現行,dungeon1,workshop,head,,0,0,0,7,"{""maxMp"":6}",,,,D1工房規格。魔法防御とMPに寄せた装備。
forge_d1_leftHand,黒鉄の小盾,2,uncommon,現行,dungeon1,workshop,leftHand,,0,0,9,2,,,,,D1工房規格。物理防御に寄せた装備。
forge_d1_sword,黒鉄剣グレイヴ,2,uncommon,現行,dungeon1,workshop,rightHand,sword,11,0,0,0,,,,,D1工房規格。基本能力を変えず、武器攻撃力だけを高める。
forge_d1_staff,青燐杖ルーメン,2,uncommon,現行,dungeon1,workshop,rightHand,staff,0,12,0,0,,,,,D1工房規格。基本能力を変えず、術式出力だけを高める。
forge_d1_martial,鉄牙拳ヴァイス,2,uncommon,現行,dungeon1,workshop,rightHand,martial,11,0,0,0,,,,,D1工房規格。基本能力を変えず、武器攻撃力だけを高める。
slimeRing,スライムリング,4,epic,現行,dungeon1,dropOnly,accessory,,0,0,0,0,"{""luk"":4,""mnd"":2}",,,,シャドウスライムの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
archive_reward_d1,宵盗の蒼章,4,epic,現行,dungeon1,collection,accessory,,0,0,0,16,"{""dex"":4,""luk"":4}",,,,DUNGEON 1の怪異遺装をすべて盗み取った証。
goblinGloves,ゴブリングローブ,4,epic,現行,dungeon1,dropOnly,arms,,12,0,5,0,"{""str"":4,""dex"":4}",,,,ゴブリンの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
ghostBoneReliquary,魔骸手《ゴーストボーン》,4,epic,現行,dungeon1,dropOnly,arms,,12,0,5,0,"{""str"":4,""dex"":4}",,,,ゴーストボーンの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
soulRobe,ソルローブ,4,epic,現行,dungeon1,dropOnly,body,,0,0,19,0,"{""vit"":4,""maxHp"":8}",,,,ソルメイジの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
ratBoots,ラットブーツ,4,epic,現行,dungeon1,dropOnly,feet,,0,0,6,6,"{""agi"":4,""dex"":2}",,,,盗鼠の怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
nightHat,ナイトハット,4,epic,現行,dungeon1,dropOnly,head,,0,0,0,19,"{""mnd"":4,""dex"":2}",,,,ナイトバットの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
shadowWand,シャドウワンド,4,epic,現行,dungeon1,dropOnly,rightHand,staff,0,35,0,0,"{""mag"":4,""dex"":2}",,,,シャドウスライムの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
maestri_baton,七奏のタクト,5,legendary,現行,dungeon1,boss,accessory,,0,0,0,0,"{""dex"":7,""mag"":5,""maxMp"":8}",,zenacad,,七つの音を束ねる者の証。正体不明の旋律が微かに脈打つ。
maestro_gloves,指揮者の白手袋,5,legendary,現行,dungeon1,boss,arms,,0,0,0,0,"{""dex"":9,""mag"":5}",,zenacad,,精緻な魔法制御を可能にする、指揮者の白手袋。
soloist_coat,独奏卿の燕尾服,5,legendary,現行,dungeon1,boss,body,,0,0,15,20,"{""maxHp"":12,""maxMp"":10,""dex"":5,""mag"":4}",,zenacad,,黒・紫・金で仕立てられた独奏卿の燕尾服。魔力と精神を守る。
finale_boots,終演の革靴,5,legendary,現行,dungeon1,boss,feet,,0,0,0,0,"{""dex"":8,""agi"":6}",,zenacad,,終演まで歩みを止めない、高速連続行動のための革靴。
soloist_mask,独奏卿の仮面,5,legendary,現行,dungeon1,boss,head,,0,0,0,0,"{""dex"":7,""mag"":4,""mnd"":2}",,zenacad,,ゼナカドが身につけていた、片眼を覆う妖艶な仮面。
cadenza_staff,魔杖カデンツァ,5,legendary,現行,dungeon1,boss,rightHand,staff,0,46,0,0,"{""dex"":9,""mag"":6,""maxMp"":6}",,zenacad,,独奏卿ゼナカドが振るった魔導指揮杖。杖が描く軌跡に魔力が追従し、ひとりの術者を楽団へと変える。
echoPendant,残響のペンダント,,epic,旧装備,dungeon2,,accessory,,0,0,0,0,,,,,失われた旋律の残響を封じ込めたペンダント。最大MPと魔力を高める。
abyssGloves,魔蝕のグローブ,,epic,旧装備,dungeon2,,arms,,0,0,0,0,,,,,魔力を帯びた素材で作られた手袋。武器と魔法、双方の制御を補助する。
abyssCoat,深域の外套,,epic,旧装備,dungeon2,,body,,0,0,0,0,,,,,深域を漂う魔力から仕立てられた黒衣。見た目以上に強固な魔力障壁を持つ。
nightwalkerBoots,夜渡りのブーツ,,epic,旧装備,dungeon2,,feet,,0,0,0,0,,,,,深域を音もなく歩くための軽装靴。身につけた者の足取りを闇へ溶かす。
silentHood,静寂のフード,,epic,旧装備,dungeon2,,head,,0,0,0,0,,,,,深域の魔力を織り込んだ頭装備。周囲の雑音を遮断し、術者の集中力を高める。
lunaEdge,月影剣ルナエッジ,,epic,旧装備,dungeon2,,rightHand,sword,0,0,0,0,,,,,深域に沈む月影鉱から鍛えられた刃。暗闇の中で淡い月光を宿す。
forge_d2_accessory,無音の耳飾り,2,uncommon,現行,dungeon2,workshop,accessory,,0,0,0,0,"{""luk"":3}",,,,D2工房規格。運に寄せた装備。
forge_d2_arms,沈黙の篭手,2,uncommon,現行,dungeon2,workshop,arms,,0,0,4,0,"{""str"":4,""dex"":3}",,,,D2工房規格。力と器用さに寄せた装備。
forge_d2_body,残響なき礼装,2,uncommon,現行,dungeon2,workshop,body,,0,0,16,0,"{""maxHp"":7}",,,,D2工房規格。物理防御に寄せた装備。
forge_d2_feet,消音の戦靴,2,uncommon,現行,dungeon2,workshop,feet,,0,0,4,4,"{""agi"":4}",,,,D2工房規格。素早さに寄せた装備。
forge_d2_head,無響の仮面,2,uncommon,現行,dungeon2,workshop,head,,0,0,0,12,"{""maxMp"":10}",,,,D2工房規格。魔法防御とMPに寄せた装備。
forge_d2_leftHand,静寂の円盾,2,uncommon,現行,dungeon2,workshop,leftHand,,0,0,16,4,,,,,D2工房規格。物理防御に寄せた装備。
forge_d2_sword,静音剣サイレン,2,uncommon,現行,dungeon2,workshop,rightHand,sword,19,0,0,0,,,,,D2工房規格。基本能力を変えず、武器攻撃力だけを高める。
forge_d2_staff,静謐杖エコー,2,uncommon,現行,dungeon2,workshop,rightHand,staff,0,20,0,0,,,,,D2工房規格。基本能力を変えず、術式出力だけを高める。
forge_d2_instrument,沈黙の調律笛,2,uncommon,現行,dungeon2,workshop,rightHand,instrument,0,20,0,0,,,,,D2工房規格。基本能力を変えず、術式出力だけを高める。
forge_d2_martial,無響拳サイファ,2,uncommon,現行,dungeon2,workshop,rightHand,martial,19,0,0,0,,,,,D2工房規格。基本能力を変えず、武器攻撃力だけを高める。
forge_d2e_accessory,鎮魂のペンダント,3,rare,現行,dungeon2,workshop,accessory,,0,0,0,0,"{""luk"":4}",,,,D2工房規格。運に寄せた装備。
forge_d2e_arms,葬律の手甲,3,rare,現行,dungeon2,workshop,arms,,0,0,6,0,"{""str"":6,""dex"":4}",,,,D2工房規格。力と器用さに寄せた装備。
forge_d2e_body,冥奏の黒衣,3,rare,現行,dungeon2,workshop,body,,0,0,24,0,"{""maxHp"":10}",,,,D2工房規格。物理防御に寄せた装備。
forge_d2e_feet,夜想の舞踏靴,3,rare,現行,dungeon2,workshop,feet,,0,0,6,6,"{""agi"":6}",,,,D2工房規格。素早さに寄せた装備。
forge_d2e_head,夜奏の冠,3,rare,現行,dungeon2,workshop,head,,0,0,0,18,"{""maxMp"":15}",,,,D2工房規格。魔法防御とMPに寄せた装備。
forge_d2e_leftHand,月蝕の鏡盾,3,rare,現行,dungeon2,workshop,leftHand,,0,0,24,6,,,,,D2工房規格。物理防御に寄せた装備。
forge_d2e_sword,月蝕剣ノクターン,3,rare,現行,dungeon2,workshop,rightHand,sword,27,0,0,0,,,,,D2工房規格。基本能力を変えず、武器攻撃力だけを高める。
forge_d2e_staff,冥奏杖レクイエム,3,rare,現行,dungeon2,workshop,rightHand,staff,0,29,0,0,,,,,D2工房規格。基本能力を変えず、術式出力だけを高める。
forge_d2e_instrument,夜想楽器ノクテュルヌ,3,rare,現行,dungeon2,workshop,rightHand,instrument,0,29,0,0,,,,,D2工房規格。基本能力を変えず、術式出力だけを高める。
forge_d2e_martial,羅刹爪テンペスト,3,rare,現行,dungeon2,workshop,rightHand,martial,27,0,0,0,,,,,D2工房規格。基本能力を変えず、武器攻撃力だけを高める。
monster_relic_voidVioloncello,怪異核《ヴォイド・チェロ》,4,epic,現行,dungeon2,dropOnly,accessory,,0,0,0,0,"{""luk"":6,""mnd"":4}",,,,ヴォイド・チェロの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_muteGargoyle,怪異核《ムート・ガーゴイル》,4,epic,現行,dungeon2,dropOnly,accessory,,0,0,0,0,"{""luk"":6,""mnd"":4}",,,,ムート・ガーゴイルの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
archive_reward_d2,静夜を破る黒章,4,epic,現行,dungeon2,collection,accessory,,0,0,0,20,"{""agi"":7,""str"":5}",,,,DUNGEON 2の怪異遺装をすべて盗み取った証。
monster_relic_silentHarmonist,魔骸手《サイレント・ハーモニスト》,4,epic,現行,dungeon2,dropOnly,arms,,17,0,7,0,"{""str"":6,""dex"":6}",,,,サイレント・ハーモニストの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_shatteredDiva,魔骸手《シャッタード・ディーヴァ》,4,epic,現行,dungeon2,dropOnly,arms,,17,0,7,0,"{""str"":6,""dex"":6}",,,,シャッタード・ディーヴァの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_fadingChorister,魔骸手《フェイド・クワイア》,4,epic,現行,dungeon2,dropOnly,arms,,17,0,7,0,"{""str"":6,""dex"":6}",,,,フェイド・クワイアの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_chimeImp,怪装《チャイム・インプ》,4,epic,現行,dungeon2,dropOnly,body,,0,0,26,0,"{""vit"":6,""maxHp"":16}",,,,チャイム・インプの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_requiemKnight,怪装《レクイエム・ナイト》,4,epic,現行,dungeon2,dropOnly,body,,0,0,26,0,"{""vit"":6,""maxHp"":16}",,,,レクイエム・ナイトの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_echoWraith,夜渡靴《エコー・レイス》,4,epic,現行,dungeon2,dropOnly,feet,,0,0,8,8,"{""agi"":6,""dex"":4}",,,,エコー・レイスの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_silenceWarden,夜渡靴《サイレンス・ウォーデン》,4,epic,現行,dungeon2,dropOnly,feet,,0,0,8,8,"{""agi"":6,""dex"":4}",,,,サイレンス・ウォーデンの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_mutedHound,夜渡靴《ミュート・ハウンド》,4,epic,現行,dungeon2,dropOnly,feet,,0,0,8,8,"{""agi"":6,""dex"":4}",,,,ミュート・ハウンドの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_stoneChoir,異貌《ストーン・クワイア》,4,epic,現行,dungeon2,dropOnly,head,,0,0,0,26,"{""mnd"":6,""dex"":4}",,,,ストーン・クワイアの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_hushMoth,異貌《ハッシュ・モス》,4,epic,現行,dungeon2,dropOnly,head,,0,0,0,26,"{""mnd"":6,""dex"":4}",,,,ハッシュ・モスの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_silentKnight,怪異剣《サイレント・ナイト》,4,epic,現行,dungeon2,dropOnly,rightHand,sword,46,0,0,0,"{""str"":6,""dex"":4}",,,,サイレント・ナイトの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_noiselessLancer,怪異剣《ノイズレス・ランサー》,4,epic,現行,dungeon2,dropOnly,rightHand,sword,46,0,0,0,"{""str"":6,""dex"":4}",,,,ノイズレス・ランサーの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_nocturneChandelier,禁奏器《ノクターン・シャンデリア》,4,epic,現行,dungeon2,dropOnly,rightHand,instrument,0,47,0,0,"{""dex"":6,""mag"":4}",,,,ノクターン・シャンデリアの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_pallidConductor,禁奏器《ペイルド・コンダクター》,4,epic,現行,dungeon2,dropOnly,rightHand,instrument,0,47,0,0,"{""dex"":6,""mag"":4}",,,,ペイルド・コンダクターの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_grimMetronome,秘杖《グリム・メトロノーム》,4,epic,現行,dungeon2,dropOnly,rightHand,staff,0,47,0,0,"{""mag"":6,""dex"":4}",,,,グリム・メトロノームの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_reverbSlime,秘杖《リバーブ・スライム》,4,epic,現行,dungeon2,dropOnly,rightHand,staff,0,47,0,0,"{""mag"":6,""dex"":4}",,,,リバーブ・スライムの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_whisperVeil,魔装拳《ウィスパー・ヴェイル》,4,epic,現行,dungeon2,dropOnly,rightHand,martial,46,0,0,0,"{""agi"":6,""str"":4}",,,,ウィスパー・ヴェイルの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
monster_relic_nocturneBanshee,魔装拳《ノクターン・バンシー》,4,epic,現行,dungeon2,dropOnly,rightHand,martial,46,0,0,0,"{""agi"":6,""str"":4}",,,,ノクターン・バンシーの怪異性が凝固した一点物。基本能力まで引き上げる、工房では再現できない遺装。
myrthi_metro,第二奏のメトロノーム,5,legendary,現行,dungeon2,boss,accessory,,0,0,0,0,"{""agi"":6,""critBonus"":0.05}",,myrthi,,正確なリズムを刻み続けるメトロノーム。着けた者のあらゆる動作を研ぎ澄ます。
myrthi_bangle,拍動のバングル,5,legendary,現行,dungeon2,boss,arms,,0,0,0,0,"{""str"":10,""agi"":4}",,myrthi,,リズムを刻むように脈打つバングル。攻撃の勢いを増幅する。
myrthi_coat,黒紅の戦舞装,5,legendary,現行,dungeon2,boss,body,,0,0,0,0,"{""maxHp"":20,""vit"":8,""agi"":5}",,myrthi,,動きを一切阻まない、戦場を舞台とした戦姫の戦闘衣。
myrthi_boots,加速の舞踏靴,5,legendary,現行,dungeon2,boss,feet,,0,0,0,0,"{""agi"":12,""dex"":4}",,myrthi,,ミルティが超高速で踏み込む際の舞踏靴。限界を超えた機動力を秘める。
myrthi_headband,律動の髪飾り,5,legendary,現行,dungeon2,boss,head,,0,0,0,0,"{""agi"":8,""critBonus"":0.04}",,myrthi,,ミルティが舞う際に軽やかに揺れる漆黒の髪飾り。素早さとクリティカルを高める。
myrthi_blade_noctis,黒紅双刃・影牙,5,legendary,現行,dungeon2,boss,leftHand,martial,45,0,0,0,"{""str"":7,""agi"":10}",,myrthi,,赫牙と対を成す左の黒刃。双刃士が左手へ装備した時、黒紅の軌跡が完成する。
myrthi_blade,黒紅双刃・赫牙,5,legendary,現行,dungeon2,boss,rightHand,martial,48,0,0,0,"{""str"":9,""agi"":8}",,myrthi,,ミルティが舞い踊るように振るう漆黒と深紅の双刃。武道家・双刃士が装備できる。
voidRing,虚無の指輪,,epic,旧装備,dungeon3,,accessory,,4,4,4,4,,,,,虚無の精髄を封じ、攻防とHP・MPを補う指輪。
